nom,ville,pays,latitude,longitude
St Jean Airport,St. Jean,Canada,45.2943992615,-73.2810974121
Stephenville Airport,Stephenville,Canada,48.5442008972,-58.5499992371
Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244
Waterloo Airport,Waterloo,Canada,43.4608001709,-80.3786010742
Schefferville Airport,Schefferville,Canada,54.8053016663,-66.8052978516
Kindersley Airport,Kindersley,Canada,51.5175018311,-109.180999756
Buttonville Municipal Airport,Toronto,Canada,43.8622016907,-79.3700027466
Chapleau Airport,Chapleau,Canada,47.8199996948,-83.3467025757
Meadow Lake Airport,Meadow Lake,Canada,54.1253013611,-108.5230026245
Lloydminster Airport,Lloydminster,Canada,53.3092002869,-110.0729980469
Alert Airport,Alert,Canada,82.5177993774,-62.2806015015
Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352
Mayo Airport,Mayo,Canada,63.6164016724,-135.8679962158
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.3302993774,-105.5589981079
Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122
Moosonee Airport,Moosonee,Canada,51.2910995483,-80.6078033447
Maniwaki Airport,Maniwaki,Canada,46.2728004456,-75.9906005859
Montreal International (Mirabel) Airport,Montreal,Canada,45.679501,-74.038696
Natashquan Airport,Natashquan,Canada,50.1899986267,-61.7891998291
Ottawa / Gatineau Airport,Gatineau,Canada,45.5217018127,-75.5635986328
Matagami Airport,Matagami,Canada,49.7616996765,-77.8028030396
Old Crow Airport,Old Crow,Canada,67.570602417,-139.8390045166
CFB Cold Lake,Cold Lake,Canada,54.4049987793,-110.2789993286
High Level Airport,High Level,Canada,58.6213989258,-117.1650009155
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215,-75.6691970825
Prince Albert Glass Field,Prince Albert,Canada,53.2141990662,-105.672996521
Peace River Airport,Peace River,Canada,56.226898,-117.446999
Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817
Pitt Meadows Airport,Pitt Meadows,Canada,49.2160987854,-122.7099990845
Pickle Lake Airport,Pickle Lake,Canada,51.4463996887,-90.2142028809
Port Menier Airport,Port Menier,Canada,49.8363990784,-64.2885971069
Peterborough Airport,Peterborough,Canada,44.2299995422,-78.3632965088
Prince Rupert Airport,Prince Pupert,Canada,54.2860984802,-130.445007324
Fort Chipewyan Airport,Fort Chipewyan,Canada,58.76720047,-111.1169967651
Muskoka Airport,Muskoka,Canada,44.9747009277,-79.3032989502
Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,Canada,52.1822013855,-113.8939971924
Windsor Airport,Windsor,Canada,42.2756004333,-82.9555969238
Watson Lake Airport,Watson Lake,Canada,60.1164016724,-128.8220062256
Kenora Airport,Kenora,Canada,49.7882995605,-94.3630981445
Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052
Greater Moncton International Airport,Moncton,Canada,46.1122016907,-64.6785964966
Comox Airport,Comox,Canada,49.7108001709,-124.8870010376
Regina International Airport,Regina,Canada,50.4319000244,-104.6660003662
Thunder Bay Airport,Thunder Bay,Canada,48.3718986511,-89.3238983154
Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136
Yorkton Municipal Airport,Yorkton,Canada,51.2647018433,-102.4619979858
North Battleford Airport,North Battleford,Canada,52.7691993713,-108.2440032959
Gander International Airport,Gander,Canada,48.9369010925,-54.5680999756
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798
Quesnel Airport,Quesnel,Canada,53.0261001587,-122.5100021362
Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985
Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.7644004822,-69.5847015381
Roberval Airport,Roberval,Canada,48.5200004578,-72.2656021118
Rocky Mountain House Airport,Rocky Mountain House,Canada,52.4296989441,-114.903999329
Rankin Inlet Airport,Rankin Inlet,Canada,62.8114013672,-92.1157989502
Sudbury Airport,Sudbury,Canada,46.625,-80.7988967896
Sherbrooke Airport,Sherbrooke,Canada,45.4385986328,-71.6913986206
Saint John Airport,St. John,Canada,45.3161010742,-65.890296936
Fort Smith Airport,Fort Smith,Canada,60.0203018188,-111.9619979858
Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602
Summerside Airport,Summerside,Canada,46.4406013489,-63.8335990906
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.9938964844,-125.242996216
Cape Dorset Airport,Cape Dorset,Canada,64.2300033569,-76.5267028809
Thompson Airport,Thompson,Canada,55.8011016846,-97.8641967773
CFB Trenton,Trenton,Canada,44.1189002991,-77.5280990601
Timmins/Victor M. Power,Timmins,Canada,48.5696983337,-81.376701355
Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.4332962036,-133.0260009766
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502
Repulse Bay Airport,Repulse Bay,Canada,66.5214004517,-86.2247009277
Hall Beach Airport,Hall Beach,Canada,68.7761001587,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,48.2061004639,-78.8356018066
La Ronge Airport,La Ronge,Canada,55.1514015198,-105.262001038
Vermilion Airport,Vermillion,Canada,53.3558006287,-110.823997498
Qikiqtarjuaq Airport,Broughton Island,Canada,67.5457992554,-64.0314025879
Val-d'Or Airport,Val D'or,Canada,48.0532989502,-77.7827987671
Kuujjuaq Airport,Quujjuaq,Canada,58.0960998535,-68.426902771
Norman Wells Airport,Norman Wells,Canada,65.2816009521,-126.797996521
Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108
Buffalo Narrows Airport,Buffalo Narrows,Canada,55.8418998718,-108.417999268
Wiarton Airport,Wiarton,Canada,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,45.9522018433,-77.3191986084
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.9099998474,-97.2398986816
Wabush Airport,Wabush,Canada,52.9219017029,-66.864402771
Williams Lake Airport,Williams Lake,Canada,52.1831016541,-122.054000854
Wrigley Airport,Wrigley,Canada,63.209400177,-123.43699646
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.6108016968,-115.7819976807
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,53.5724983215,-113.521003723
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.1707992554,-106.6999969482
Medicine Hat Airport,Medicine Hat,Canada,50.018901825,-110.7210006714
Fort St John Airport,Fort Saint John,Canada,56.2380981445,-120.7399978638
Sioux Lookout Airport,Sioux Lookout,Canada,50.113899231,-91.9052963257
Pangnirtung Airport,Pangnirtung,Canada,66.1449966431,-65.7136001587
Earlton (Timiskaming Regional) Airport,Earlton,Canada,47.6974006546,-79.8473453522
Prince George Airport,Prince George,Canada,53.8894004822,-122.679000854
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.468498,-128.576009
London Airport,London,Canada,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,49.0252990723,-122.361000061
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.7095985413,-135.067001343
North Bay Jack Garland Airport,North Bay,Canada,46.363602,-79.422798
Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643
Smithers Airport,Smithers,Canada,54.8246994019,-127.1829986572
Fort Nelson Airport,Fort Nelson,Canada,58.8363990784,-122.597000122
Penticton Airport,Penticton,Canada,49.4631004333,-119.6019973755
Charlottetown Airport,Charlottetown,Canada,46.2900009155,-63.1211013794
Taloyoak Airport,Spence Bay,Canada,69.5466995239,-93.5766983032
Victoria International Airport,Victoria,Canada,48.646900177,-123.426002502
Lynn Lake Airport,Lynn Lake,Canada,56.863899231,-101.0759963989
Swift Current Airport,Swift Current,Canada,50.2919006348,-107.691001892
Churchill Airport,Churchill,Canada,58.739200592,-94.0650024414
Goose Bay Airport,Goose Bay,Canada,53.3191986084,-60.4258003235
St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192
Kapuskasing Airport,Kapuskasing,Canada,49.413898468,-82.4674987793
Armstrong Airport,Armstrong,Canada,50.2902984619,-88.9096984863
Mont Joli Airport,Mont Joli,Canada,48.6086006165,-68.2080993652
Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.6305999756
Downsview Airport,Toronto,Canada,43.7425003052,-79.4655990601
Gore Bay Manitoulin Airport,Gore Bay,Canada,45.8852996826,-82.5678024292
Yellowknife Airport,Yellowknife,Canada,62.4627990723,-114.4400024414
Slave Lake Airport,Slave Lake,Canada,55.2930984497,-114.777000427
Sandspit Airport,Sandspit,Canada,53.2542991638,-131.813995361
Chris Hadfield Airport,Sarnia,Canada,42.9994010925,-82.3088989258
Port Hardy Airport,Port Hardy,Canada,50.6805992126,-127.3669967651
Whitecourt Airport,Whitecourt,Canada,54.143901825,-115.7870025635
Sept-Îles Airport,Sept-iles,Canada,50.2233009338,-66.2656021118
Teslin Airport,Teslin,Canada,60.1727981567,-132.7429962158
CFB Greenwood,Greenwood,Canada,44.9844017029,-64.9169006348
Faro Airport,Faro,Canada,62.2075004578,-133.3760070801
Fort Mcpherson Airport,Fort Mcpherson,Canada,67.4075012207,-134.8609924316
Blida Airport,Blida,Algeria,36.5036010742,2.8141698837
Bou Saada Airport,Bou Saada,Algeria,35.3325004578,4.206389904
Soummam Airport,Bejaja,Algeria,36.7120018005,5.069920063
Houari Boumediene Airport,Algier,Algeria,36.6910018921,3.2154099941
Djanet Inedbirene Airport,Djanet,Algeria,24.292801,9.45244
Boufarik Airport,Boufarik,Algeria,36.545799,2.87611
Reggane Airport,Reggan,Algeria,26.7101,0.285647
Illizi Takhamalt Airport,Illizi,Algeria,26.7234992981,8.6226501465
Ain Oussera Airport,Ain Oussera,Algeria,35.5253982544,2.8787100315
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.8115005493,5.4510798454
Jijel Ferhat Abbas Airport,Jijel,Algeria,36.7951011658,5.8736100197
Mecheria Airport,Mecheria,Algeria,33.535900116,-0.2423530072
Relizane Airport,Relizane,Algeria,35.752201,0.626272
Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,Algeria,36.2760009766,6.6203899384
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.4315986633,8.1207199097
Hassi R'Mel Airport,Tilrempt,Algeria,32.9304008484,3.3115398884
Bou Chekif Airport,Tiaret,Algeria,35.3410987854,1.4631500244
Bou Sfer Airport,Bou Sfer,Algeria,35.7354011536,-0.8053889871
Tindouf Airport,Tindouf,Algeria,27.7003993988,-8.1670999527
Ech Cheliff Airport,Ech-cheliff,Algeria,36.2126998901,1.3317699432
Tafaraoui Airport,Oran,Algeria,35.5424003601,-0.5322780013
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.0167007446,-1.4500000477
Es Senia Airport,Oran,Algeria,35.6239013672,-0.6211829782
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,35.1717987061,-0.5932750106
Ghriss Airport,Ghriss,Algeria,35.207698822,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.837600708,-0.1864140034
Biskra Airport,Biskra,Algeria,34.7933006287,5.7382302284
El Golea Airport,El Golea,Algeria,30.5713005066,2.8595900536
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.3841018677,3.7941100597
Oued Irara Airport,Hassi Messaoud,Algeria,31.6730003357,6.1404399872
In Salah Airport,In Salah,Algeria,27.2509994507,2.5120201111
Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.0677986145,6.0886697769
Laghouat Airport,Laghouat,Algeria,33.7644004822,2.9283399582
Timimoun Airport,Timimoun,Algeria,29.2371006012,0.2760330141
Ain el Beida Airport,Ouargla,Algeria,31.9172000885,5.412779808
In Aménas Airport,Zarzaitine,Algeria,28.0515,9.64291
Cadjehoun Airport,Cotonou,Benin,6.3572301865,2.3843500614
Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.1600999832,-4.3309698105
Kotoka International Airport,Accra,Ghana,5.6051898003,-0.1667860001
Tamale Airport,Tamale,Ghana,9.5571899414,-0.863214016
Wa Airport,Wa,Ghana,10.0826997757,-2.5076899529
Sunyani Airport,Sunyani,Ghana,7.3618302345,-2.3287599087
Takoradi Airport,Takoradi,Ghana,4.8960599899,-1.7747600079
Port Bouet Airport,Abidjan,Cote d'Ivoire,5.2613902092,-3.9262900352
Bouaké Airport,Bouake,Cote d'Ivoire,7.7388000488,-5.0736699104
Daloa Airport,Daloa,Cote d'Ivoire,6.7928099632,-6.4731898308
Korhogo Airport,Korhogo,Cote d'Ivoire,9.3871803284,-5.5566601753
Man Airport,Man,Cote d'Ivoire,7.272069931,-7.5873599052
San Pedro Airport,San Pedro,Cote d'Ivoire,4.7467198372,-6.6608200073
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,6.9031701088,-5.3655800819
Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.0067901611,7.2631697655
Akure Airport,Akure,Nigeria,7.2467398643,5.3010101318
Benin Airport,Benin,Nigeria,6.3169798851,5.5995001793
Margaret Ekpo International Airport,Calabar,Nigeria,4.9760198593,8.3472003937
Akanu Ibiam International Airport,Enugu,Nigeria,6.4742698669,7.5619602203
Gusau Airport,Gusau,Nigeria,12.1717,6.69611
Ibadan Airport,Ibadan,Nigeria,7.3624601364,3.9783298969
Ilorin International Airport,Ilorin,Nigeria,8.4402103424,4.4939198494
Yakubu Gowon Airport,Jos,Nigeria,9.6398296356,8.8690500259
Kaduna Airport,Kaduna,Nigeria,10.6960000992,7.3201098442
Mallam Aminu International Airport,Kano,Nigeria,12.0476,8.52462
Maiduguri International Airport,Maiduguri,Nigeria,11.8552999496,13.0809001923
Makurdi Airport,Makurdi,Nigeria,7.70388,8.61394
Murtala Muhammed International Airport,Lagos,Nigeria,6.5773701668,3.321160078
Minna Airport,Minna,Nigeria,9.6521701813,6.4622597694
Port Harcourt International Airport,Port Hartcourt,Nigeria,5.0154900551,6.9495902061
Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.9162998199,5.2071900368
Yola Airport,Yola,Nigeria,9.2575502396,12.4303998947
Zaria Airport,Zaria,Nigeria,11.1302,7.68581
Maradi Airport,Maradi,Niger,13.5024995804,7.1267499924
Diori Hamani International Airport,Niamey,Niger,13.4815,2.18361
Tahoua Airport,Tahoua,Niger,14.8756999969,5.2653598785
Mano Dayak International Airport,Agadez,Niger,16.9659996033,8.0001096725
Dirkou Airport,Dirkou,Niger,18.9687004089,12.8687000275
Diffa Airport,Diffa,Niger,13.3729000092,12.6267004013
Zinder Airport,Zinder,Niger,13.7790002823,8.9837598801
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,35.7580986023,10.754699707
Tunis Carthage International Airport,Tunis,Tunisia,36.8510017395,10.2271995544
Sidi Ahmed Air Base,Bizerte,Tunisia,37.245398,9.79145
Remada Air Base,Remada,Tunisia,32.3061981201,10.3821001053
Gafsa Ksar International Airport,Gafsa,Tunisia,34.422000885,8.8225002289
Gabès Matmata International Airport,Gabes,Tunisia,33.8768997192,10.1033000946
Borj El Amri Airport,Bordj El Amri,Tunisia,36.7212982178,9.9431495667
Djerba Zarzis International Airport,Djerba,Tunisia,33.875,10.7755002975
El Borma Airport,El Borma,Tunisia,31.7042999268,9.2546195984
Sfax Thyna International Airport,Sfax,Tunisia,34.7179985046,10.6909999847
Tozeur Nefta International Airport,Tozeur,Tunisia,33.9397010803,8.1105604172
Niamtougou International Airport,Niatougou,Togo,9.7673301697,1.0912499428
Lomé-Tokoin Airport,Lome,Togo,6.1656098366,1.2545100451
Antwerp International Airport (Deurne),Antwerp,Belgium,51.1893997192,4.4602799416
Beauvechain Air Base,Beauvechain,Belgium,50.7585983276,4.7683300972
Kleine Brogel Air Base,Kleine Brogel,Belgium,51.168301,5.47
Brussels Airport,Brussels,Belgium,50.9014015198,4.4844398499
Jehonville Air Base,Bertrix,Belgium,49.8917007446,5.2238898277
Brussels South Charleroi Airport,Charleroi,Belgium,50.459202,4.45382
Chièvres Air Base,Chievres,Belgium,50.5758018494,3.8310000896
Koksijde Air Base,Koksijde,Belgium,51.0903015137,2.652780056
Florennes Air Base,Florennes,Belgium,50.2433013916,4.6458301544
Wevelgem Airport,Kortrijk-vevelgem,Belgium,50.817199707,3.2047200203
Liège Airport,Liege,Belgium,50.6374015808,5.4432201385
Ostend-Bruges International Airport,Ostend,Belgium,51.1988983154,2.8622200489
Zutendaal Air Base,Zutendaal,Belgium,50.9474983215,5.5905599594
Brustem Airfield Sint Truiden,Sint-truiden,Belgium,50.791901,5.20167
Saint Hubert Air Base,St.-hubert,Belgium,50.0344009399,5.4408102036
Ursel Air Base,Ursel,Belgium,51.1441993713,3.4755599499
Weelde Air Base,Weelde,Belgium,51.3947982788,4.9601898193
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,51.264702,4.75333
Flugplatz Bautzen,Bautzen,Germany,51.193611,14.519722
Altenburg-Nobitz Airport,Altenburg,Germany,50.981945,12.506389
Dessau Airfield,Dessau,Germany,51.831694,12.190962
Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,52.195856,14.58753
Großenhain Airport,Suhl,Germany,51.3080558777,13.5555562973
Merseburg Airport,Muehlhausen,Germany,51.3630556,11.9408333
Halle-Oppin Airport,Halle,Germany,51.552223,12.053889
Riesa-Göhlis Airport,Riesa,Germany,51.2936096191,13.3561105728
Rechlin-Lärz Airport,Rechlin-laerz,Germany,53.306388855,12.7522220612
Strausberg Airport,Strausberg,Germany,52.5805549622,13.9166669846
Schönhagen Airport,Schoenhagen,Germany,52.203609,13.156389
Barth Airport,Barth,Germany,54.338253,12.710515
Jena-Schöngleina Airfield,Jena,Germany,50.915279,11.714444
Kyritz Airport,Kyritz,Germany,52.918888092,12.42527771
"Magdeburg ""City"" Airport",Magdeburg,Germany,52.073612,11.626389
Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,51.3633346558,14.9499998093
Anklam Airfield,Anklam,Germany,53.832779,13.668611
Cottbus-Drewitz Airport,Cottbus,Germany,51.889442,14.531944
Kamenz Airport,Kamenz,Germany,51.2969436646,14.1274995804
Berlin-Schönefeld Airport,Berlin,Germany,52.380001,13.5225
Dresden Airport,Dresden,Germany,51.1328010559,13.76720047
Erfurt Airport,Erfurt,Germany,50.979801178,10.9581003189
Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
Münster Osnabrück Airport,Munster,Germany,52.134601593,7.6848301888
Hamburg Airport,Hamburg,Germany,53.6304016113,9.9882297516
Berlin-Tempelhof International Airport,Berlin,Germany,52.4729995728,13.4039001465
Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728
Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678
Munich Airport,Munich,Germany,48.353802,11.7861
Nuremberg Airport,Nuernberg,Germany,49.498699,11.078056
Leipzig/Halle Airport,Leipzig,Germany,51.423889,12.236389
Saarbrücken Airport,Saarbruecken,Germany,49.2145996094,7.1095099449
Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.2219600678
Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877
Hannover Airport,Hannover,Germany,52.461101532,9.6850795746
Bremen Airport,Bremen,Germany,53.0475006104,8.7866697311
Frankfurt-Egelsbach Airport,Egelsbach,Germany,49.959999,8.645833
Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.26389
Mannheim-City Airport,Mannheim,Germany,49.473057,8.514167
Allendorf/Eder Airport,Allendorf,Germany,51.0349998474,8.6808328629
Worms Airport,Worms,Germany,49.606945,8.368333
Mainz-Finthen Airport,Mainz,Germany,49.967499,8.147222
Eisenach-Kindel Airport,Eisenach,Germany,50.991604,10.47973
Siegerland Airport,Siegerland,Germany,50.707698822,8.0829696655
Hamburg-Finkenwerder Airport,Hamburg,Germany,53.5352783203,9.8355560303
Kiel-Holtenau Airport,Kiel,Germany,54.3794441223,10.145277977
Lübeck Blankensee Airport,Luebeck,Germany,53.8054008484,10.7192001343
Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,50.405555725,6.5288891792
Meinerzhagen Airport,Meinerzhagen,Germany,51.0999984741,7.5999999046
Arnsberg-Menden Airport,Arnsberg,Germany,51.4838905334,7.8983330727
Essen Mulheim Airport,Essen,Germany,51.4023017883,6.9373297691
Bielefeld Airport,Bielefeld,Germany,51.964722,8.544444
Mönchengladbach Airport,Moenchengladbach,Germany,51.230278,6.504444
Paderborn Lippstadt Airport,Paderborn,Germany,51.6141014099,8.6163196564
Stadtlohn-Vreden Airport,Stadtlohn,Germany,51.9958343506,6.8405561447
Dortmund Airport,Dortmund,Germany,51.5182991028,7.6122398377
Augsburg Airport,Augsburg,Germany,48.425278,10.931667
Biberach a.d. Riß Airfield,Biberach,Germany,48.111111,9.762778
Eggenfelden Airport,Eggenfelden,Germany,48.3961105347,12.723610878
Mindelheim-Mattsies Airfield,Mindelheim,Germany,48.106945,10.525
Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,48.081402,11.2831
Straubing Airport,Straubing,Germany,48.9008331299,12.516667366
Vilshofen Airport,Vilshofen,Germany,48.6349983215,13.195555687
Leutkirch-Unterzeil Airport,Leutkirch,Germany,47.8588905334,10.014166832
Friedrichshafen Airport,Friedrichshafen,Germany,47.6712989807,9.5114898682
Schwerin Parchim Airport,Parchim,Germany,53.426998,11.7834
Stendal-Borstel Airport,Stendal,Germany,52.6288871765,11.818611145
Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,48.7777786255,10.2647218704
Bayreuth Airport,Bayreuth,Germany,49.985001,11.64
Burg Feuerstein Airport,Burg Feuerstein,Germany,49.7941665649,11.1336107254
Hof-Plauen Airport,Hof,Germany,50.2886123657,11.8563890457
Haßfurt-Schweinfurt Airport,Hassfurt,Germany,50.0180549622,10.5294437408
Koblenz-Winningen Airfield,Koblenz,Germany,50.325558,7.528611
Trier-Föhren Airport,Trier,Germany,49.863888,6.7875
