Cadre d'exercice professionnel,,,,,,,,mot-clé pour API,,,,,,,Déduction orientation guichet,,,,,,Contrôle de cohérence si activité principale,,,,,liste référénce,,,Métiers d'art,Régime d'imposition des benefices si typePersonne = P et microEntreprise = false,,,,,,,Régime d'imposition à la TVA si typePersonne=P et microEntreprise=false,,,,,Régime d'imposition des benefices si typePersonne = P et microEntreprise = false,,,,,,Régime d'imposition à la TVA si typePersonne=P et microEntreprise=false,,,,,,,Régime d'imposition des benefices si typePersonne = P et microEntreprise = false,,,,,,,,,,,,,,Régime d'imposition à la TVA si typePersonne=P et microEntreprise=false,,,,,,,,,,,,SI Type Personne = P et si microentreprise =false,,,,
CodeN1,"Niv. 1 
(Domaine d'activité général)",CodeN2,"Niv. 2
(précision sur le domaine d'activité)",CodeN3,"Niv. 3
(précision du type d'exercice professionnel si besoin)",CodeN4,"Niv. 4
(précision détaillée du type de profession si besoin)",MOT SPECIFIQUE,MOT GENERIQUE,Autres,,mot d'exclusion,Code final,,Affiliation si principale (hors prolongement agricole),Caisse de retraite spéciale,Forme exercice Activité si  effectif < 11 (hors prolongement agricole),Forme exercice d'activité si JQPA non revendiquée (hors proongement agricole),Forme exercice Activité si prolongement agricole,RESEAU ASSISTANCE,Codes APE compatibles,déduction de precisionActivite,"si microEntreprise = true, déduction de regimeImpositionBenefices",,,Affiliateur,Forme d'activité,Encodage ACOSS,,Régime d'imposition des bénéfices,"Si Micro BIC =""null""","Si Réel simplifié BIC =""null""","Si Réel normal BIC = ""null""","Si Régime d'imposition à l'IS = ""true""","Si Régime d'imposition à l'IS = ""true"" et Réel simplifié IS = ""false""","Si Régime d'imposition à l'IS = ""true"" et Réel simplifié IS = ""true""",Si Franchise en base TVA = false ,Si Réel simplifié TVA = false,Si Réel normal TVA = false,Si Mini réel TVA = false ,"Option pour le dépôt des déclarations trimestrielles, si TVA inférieure à 4000€/ an",Régime d'imposition des bénéfices (1) ,"Si Déclaration Contrôlée BNC =""null""","Régime Spécial BNC =""null""","Si Régime d'imposition à l'IS = ""true""","Si Régime d'imposition à l'IS = ""true"" et Réel simplifié IS = ""false""","Si Régime d'imposition à l'IS = ""true"" et Réel simplifié IS = ""true""",Si Franchise en base TVA = false ,Si Réel simplifié TVA = false,Si Réel normal TVA = false,Si Mini réel TVA = false ,Assujettissement à la TVA en cas d’opérations imposables sur option = false,"Option pour le dépôt des déclarations trimestrielles, si TVA inférieure à 4000€/ an",Option pour la tenue d’une comptabilité créances/dettes,Régime d'imposition des bénéficces (1) ,"Si Micro BA =""null""","SI Réel simplifié BA =""null""",Si Réel normal BA = null,Si Forfait forestier = null,Revenus fonciers,"Si Régime d'imposition à l'IS = ""true"" ","Si Régime d'imposition à l'IS = ""true"" et Réel simplifié IS = ""false""",Exercice d’activités accessoires de nature agricole,Exercice d’activités accessoires de nature agricole et Micro BIC = null,Exercice d’activités accessoires de nature agricole et Réel simplifié BIC = null,Exercice d’activités accessoires de nature agricole et Réel Normal BIC = null,Exercice d’activités accessoires de nature agricole et Spécial BNC = null,“Option pour la tenue d’une comptabilité créances/dettes”,Régime d'imposition à la TVA,Si Remboursement forfaitaire agricole = null,Option particulière à la TVA : Pour la TVA en tant que bailleur de biens ruraux,Option particulière à la TVA : Pour de dépôt d’une déclaration de régularisation portant sur l’exercice comptable,Option particulière à la TVA : Pour le dépôt de déclarations trimestrielles sur la base des recettes réalisées,Option particulière à la TVA : pour le dépôt de déclarations mensuelles sur la base de recettes réalisées,“Régime d’imposition de la TVA (activités accessoires de nature agricole),Si Franchise en base TVA= null,Si Réel simplifié TVA = null,Si Réel normal TVA = null,Assujettissement à la TVA en cas d’opérations imposables sur option,"Option pour le dépôt de déclarations trimestrielles, si TVA inférieure à 4000€/an",Régime d'imposition des bénéfices (1) ,,,Régime d'imposition à la TVA,si Régime simplifié TVA = null
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,01,"Céréales, légumineuses, graine oléagineuse","céréalier, céréales, blé, maïs, orge, avoine, millet, quinoa, sorgho, seigle, haricots, fèves, pois, lentilles, lupins, graine, soja, arachides, ricin, lin, moutarde, niger, colza, carthame, sésame, tournesol, graine oléagineuse, légumineuses, ","aliment,exploitant, cultivateur, agriculteur, producteur, production, culture, alimentation,  maraîcher, exploitation, horticulteur",,,"services, consommation, industrielle, riz, ",01010101,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.11Z ; 01.50Z,Non applicable,Micro BA,,,MSA,COMMERCIALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,02,riz,"riziculteur, riz, rizière, ","aliment,exploitant, cultivateur, agriculteur, producteur, production, culture, alimentation, exploitation, ",,,"services, consommation, industrielle",01010102,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.12Z ; 01.50Z,Non applicable,Micro BA,,,ACOSS,ARTISANALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,03,"légumes, melons, racines et tuburcules","maraîcher,  légumes, melons, racine, tubercule, artichauts, asperges, choux, brocolis, laitues, chircorée, salade, épinards, légumes à feuilles et à tiges, concombre, cornichons, aubergine, tomate, pastèque, bulbe, carottes, navets, ail, oignons, échalottes, poireaux, légumes alliacés, champigons, truffe, betterave, pomme de terre, patate, manioc, igname, ","cultivateur, agriculteur, producteur, semence de légumes, aliment, culture, production, alimentation, maraîcher, agricole, exploitation, ",,,"services, consommation, industrielle, piment, poivron, épice, aromatique",01010103,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.13Z ; 01.50Z,Non applicable,Micro BA,,,ENIM,ARTISANALE_REGLEMENTEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,04,canne à sucre,"canne à sucre, sucre, sucrier, canne, sucrière, saccharum","cultivateur, agriculteur, producteur,  aliment, culture, production, alimentation, agricole, exploitation",,,"services, consommation, industrielle, betterave",01010104,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.14Z ; 01.50Z,Non applicable,Micro BA,,,,LIBERALE_REGLEMENTEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,05,tabac,"cultivateur, agriculteur, producteur, tabaculteur","cultivateur, agriculteur, producteur,  aliment, culture, production, alimentation, agricole, exploitation",,,"services, consommation, industrielle",01010105,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.15Z ; 01.50Z,Non applicable,Micro BA,,,,ACTIF_AGRICOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,06,plante à fibres,"cultivateur, agriculteur, producteur, cotonier, liniculteur, plantes à fibres, kapokier, coton, chanvre, lin, kenaf, orties, papyrus, yucca, jute, abaca, agave, luffa, bambou, cotonerie, bambouseraie, ","cultivateur, agriculteur, producteur,  textile, culture, production, alimentation, agricole, exploitation",,,"services, consommation, industrielle",01010106,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.16Z ; 01.50Z,Non applicable,Micro BA,,,,LIBERALE_NON_REGLEMENTEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,07,autres cultures non permanentes,"autres cultures non permanentes, rutabagas, fourrager, fourragère, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers, autres produits fourragers,  ","autres cultures,culture diverses,cultivateur, agriculteur, producteur, production, culture, polyculture, ",,,,01010107,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.17Z ; 01.50Z,Non applicable,Micro BA,,,,GESTION_DE_BIENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,08,vigne,"vigneron, viticulteur, viticulture, raisin, vigne, cépage, ceps, apporteur, ","production, culture, vitivinicole, ",,,,01010108,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.21Z ; 01.50Z,Non applicable,Micro BA,,,,AGRICOLE (NON ACTIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,09,fruit à pépins ou à noyau,"fruit, pépin, noyau, cerise, pomme, pêche, abricot, poire,  griottes, nectarines, coings, prunes, prunelles, arboriculteur, pomiculteur, poirier, pêcher, pommier, pommeraie, verger, 
","aliment,exploitant, cultivateur, agriculteur, producteur, production, culture, alimentation,  maraîcher, exploitation, horticulteur",,,,01010109,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.22Z ; 01.50Z,Non applicable,Micro BA,,,,AGENT_COMMERCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,10,fruits tropicaux et subtropicaux ,"avocat, plantains, dattes, figues, mangue, fruit de la passion, banane, papaye, ananas, fruits tropicaux,fruits subtropicaux, tropical, goyaves, ","aliment,exploitant, cultivateur, agriculteur, producteur, production, culture, alimentation,  maraîcher, exploitation, horticulteur",,,,01010110,,MSA,,Non applicable,ACTIF_AGRICOLE,ACTIF_AGRICOLE,,01.23Z ; 01.50Z,Non applicable,Micro BA,,,,Non applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro BA,Réel simplifié BA,Réel normal BA,Forfait forestier,Si Régime d'imposition à l'IS ,Si applicable,Réel simplifié IS,Réel Normal IS,"Micro BIC


",Réel simplifié BIC ,Réel normal BIC,Spécial BNC,Déclaration contrôlée BNC,Si Spécial BNC = True OU Déclaration contrôlée BNC = True,"Remboursement forfaitaire agricole 

  ",Régime simplifié agricol,Si applicable,Si applicable,Si applicable,Si applicable,Franchise en base TVA,Réel simplifié TVA,Réel normal TVA,Mini-réel TVA,Si applicable,Si applicable,,,,,,,
